,34,WK 3,6/6/2015,LB,Challengers CC,The AMPS,Garland Cricket Ground,Black Stallions,Dallas Chargers,Saturday,3:30 pm - 7:30 pm
,35,WK 3,6/6/2015,LA,Royals Cricket Club,Red Bulls,Lanka Cricket Ground,Incredible Indians,Plano Packers,Saturday,2:00 pm - 6:00 pm
,36,WK 3,6/6/2015,C,Desi Boyz,Lycans,Lonestar Cricket Ground,India Blues,Texas Rebels,Saturday,7:30 am - 11:30 pm
,37,WK 3,6/6/2015,LA,Irving Chargers,Super Kings,Lonestar Cricket Ground,Incredible Indians,Plano Packers,Saturday,11:30 am - 3:30 pm
,38,WK 3,6/6/2015,LA,Buccaneers,Force XI,Lonestar Cricket Ground,Incredible Indians,Plano Packers,Saturday,3:30 pm - 7:30 pm
,39,WK 3,6/7/2015,D,SHARKS,MC United,Allen Cricket Ground on Alma,Spades,Desi Boyz,Sunday,3:30 pm - 7:30 pm
,40,WK 3,6/7/2015,A,Curd Rice Cricket Club,Dallas Daredevils,Dodd Park Cricket Ground,Dallas Chargers,Lagaan XI,Sunday,7:30 pm - 11:30 am
,41,WK 3,6/7/2015,B,Plano Packers,Giant Strikers,Dodd Park Cricket Ground,The AMPS,Swadeshi Stars,Sunday,11:30 am - 3:30 pm
,42,WK 3,6/7/2015,B,Indian Snipers (TeCHricketers),Plano Tigers,Dodd Park Cricket Ground,The AMPS,Swadeshi Stars,Sunday,3:30 pm - 7:30 pm
,43,WK 4,6/13/2015,D,SHARKS,Blazing XI,Allen Cricket Ground on Alma,Dallas Daredevils,Plano Tigers,Saturday,7:30 am - 11:30 am
,44,WK 4,6/13/2015,C,Desi Boyz,United Eleven,Allen Cricket Ground on Alma,Texas Rebels,MC United,Saturday,11:30 am - 3:30 pm
,45,WK 4,6/13/2015,C,Lycans,Friends CC,Dodd Park Cricket Ground,Texas Rebels,MC United,Saturday,7:30 am - 11:30 am
,46,WK 4,6/13/2015,C,Zeo Warriors,Ballbusters,Garland Cricket Ground,Texas Rebels,MC United,Saturday,7:30 am - 11:30 am
,47,WK 4,6/13/2015,LA,Red Bulls,Force XI,Garland Cricket Ground,Blue Star CC,Dallas Tornadoes,Saturday,11:30 am - 3:30 pm
,48,WK 4,6/13/2015,A,Curd Rice Cricket Club,Dallas Dynamites,Lanka Cricket Ground,Boomstick Mafia CC,Indian Snipers (TeCHricketers),Saturday,2:00 pm - 6:00 pm
,49,WK 4,6/13/2015,A,Spades,Hyderabad Boyz,Lonestar Cricket Ground,Boomstick Mafia CC,Indian Snipers (TeCHricketers),Saturday,7:30 am - 11:30 am
,50,WK 4,6/13/2015,B,Lagaan XI,Dallas Tigers,Lonestar Cricket Ground,VR Lions,Anveta Bulls,Saturday,11:30 am - 3:30 pm
,51,WK 4,6/13/2015,B,Plano Packers,Dallas Chargers,Russell Creek G3,Anveta Bulls,VR Lions,Saturday,7:30 am - 11:30 am
,52,WK 4,6/13/2015,LB,Texas Titans,The AMPS,Russell Creek G3,BIS LIONS,Buccaneers,Saturday,11:30 am - 3:30 pm
,53,WK 4,6/13/2015,A,Challengers CC,ACE XI,Russell Creek G4,Cirrus,Boomstick Mafia CC,Saturday,7:30 am - 11:30 am
,54,WK 4,6/13/2015,LA,Royals Cricket Club,Mustangs Cc,Russell Creek G4,Blue Star CC,Dallas Tornadoes,Saturday,11:30 am - 3:30 pm
,55,WK 4,6/13/2015,LA,King Cobras CC,Southlake United,Russell Creek G5,Blue Star CC,Dallas Tornadoes,Saturday,7:30 am - 11:30 am
,56,WK 4,6/13/2015,B,Giant Strikers,Incredible Indians,Russell Creek G5,Anveta Bulls,VR Lions,Saturday,11:30 am - 3:30 pm
,57,WK 4,6/13/2015,D,India Blues,Chennai Rockerz,Russell Creek G6,Dallas Daredevils,Indian Snipers (TeCHricketers),Saturday,7:30 am - 11:30 am
,58,WK 4,6/13/2015,LA,UTDCC,Super Kings,Russell Creek G6,Blue Star CC,Dallas Tornadoes,Saturday,11:30 am - 3:30 pm
,59,WK 4,6/13/2015,D,SMASHERS,Swadeshi Stars,Russell Creek G7,Dallas Daredevils,Plano Tigers,Saturday,7:30 am - 11:30 am
,60,WK 4,6/13/2015,LA,Irving Chargers,EPIC Cricket Club,Russell Creek G7,Blue Star CC,Dallas Tornadoes,Saturday,11:30 am - 3:30 pm
,61,WK 4,6/14/2015,C,The AMPS,Anveta Bulls,Allen Cricket Ground on Alma,India Blues,Texas Rebels,Sunday,3:30 pm - 7:30 pm
,62,WK 4,6/14/2015,C,Cycle Stand,Boomstick Mafia CC,Russell Creek G3,India Blues,Texas Rebels,Sunday,7:30 am - 11:30 am
,63,WK 4,6/14/2015,B,Cirrus,Indian Snipers (TeCHricketers),Russell Creek G3,Desi Boyz,Swadeshi Stars,Sunday,11:30 am - 3:30 pm
,64,WK 4,6/14/2015,D,Frisco Singhams,MC United,Russell Creek G4,Spades,Curd Rice Cricket Club,Sunday,7:30 am - 11:30 am
,65,WK 4,6/14/2015,A,Royals Cricket Club,Texas Titans,Russell Creek G5,Incredible Indians,Dallas Chargers,Sunday,7:30 am - 11:30 am
,66,WK 4,6/14/2015,LB,Plano Packers,Dallas Tornadoes,Russell Creek G5,UTDCC,Buccaneers,Sunday,11:30 am - 3:30 pm
,67,WK 4,6/14/2015,B,King Cobras CC,Plano Tigers,Russell Creek G6,Desi Boyz,Swadeshi Stars,Sunday,7:30 am - 11:30 am
,68,WK 4,6/14/2015,LB,Blue Star CC,Lagaan XI,Russell Creek G6,UTDCC,Super Kings,Sunday,11:30 am - 3:30 pm
,69,WK 4,6/14/2015,A,Irving Chargers,Dallas Daredevils,Russell Creek G7,Incredible Indians,Dallas Chargers,Sunday,7:30 am - 11:30 am
,70,WK 4,6/14/2015,LB,Challengers CC,Black Stallions,Russell Creek G7,UTDCC,Buccaneers,Sunday,11:30 am - 3:30 pm
,71,WK 5,6/20/2015,D,Texas Rebels,VR Lions,Allen Cricket Ground on Alma,Hyderabad Boyz,Dallas Tigers,Saturday,7:30 am - 11:30 am
,72,WK 5,6/20/2015,D,SMASHERS,Chennai Rockerz,Allen Cricket Ground on Alma,Hyderabad Boyz,Dallas Tigers,Saturday,11:30 am - 3:30 pm
,73,WK 5,6/20/2015,D,SHARKS,Frisco Singhams,Dodd Park Cricket Ground,Hyderabad Boyz,Dallas Tigers,Saturday,7:30 am - 11:30 am
,74,WK 5,6/20/2015,D,Blazing XI,Texas Thunders (Breckinridge Cricket Club),Garland Cricket Ground,Hyderabad Boyz,Dallas Tigers,Saturday,7:30 am - 11:30 am
,75,WK 5,6/20/2015,A,Spades,Dallas Daredevils,Garland Cricket Ground,Dallas Tigers,Friends CC,Saturday,11:30 am - 3:30 pm
,76,WK 5,6/20/2015,LB,Texas Titans,Black Stallions,Lanka Cricket Ground,BIS LIONS,Force XI,Saturday,2:00 pm - 6:00 pm
,77,WK 5,6/20/2015,B,Indian Snipers (TeCHricketers),Giant Strikers,Lonestar Cricket Ground,Anveta Bulls,Desi Boyz,Saturday,7:30 am - 11:30 am
,78,WK 5,6/20/2015,LA,UTDCC,Red Bulls,Lonestar Cricket Ground,Blue Star CC,BIS LIONS,Saturday,11:30 am - 3:30 pm
,79,WK 5,6/20/2015,B,Plano Tigers,Incredible Indians,Russell Creek G3,Anveta Bulls,Desi Boyz,Saturday,7:30 am - 11:30 am
,80,WK 5,6/20/2015,LA,EPIC Cricket Club,Dallas Chargers,Russell Creek G3,BIS LIONS,Mustangs Cc,Saturday,11:30 am - 3:30 pm
,81,WK 5,6/20/2015,A,Royals Cricket Club,Dallas Dynamites,Russell Creek G4,Cirrus,Friends CC,Saturday,7:30 am - 11:30 am
,82,WK 5,6/20/2015,LB,Plano Packers,The AMPS,Russell Creek G4,BIS LIONS,Force XI,Saturday,11:30 am - 3:30 pm
,83,WK 5,6/20/2015,A,Challengers CC,Irving Chargers,Russell Creek G5,Dallas Tigers,Friends CC,Saturday,7:30 am - 11:30 am
,84,WK 5,6/20/2015,LB,Dallas Tornadoes,Lagaan XI,Russell Creek G5,Mustangs Cc,Force XI,Saturday,11:30 am - 3:30 pm
,85,WK 5,6/20/2015,A,Curd Rice Cricket Club,ACE XI,Russell Creek G6,Cirrus,Friends CC,Saturday,7:30 am - 11:30 am
,86,WK 5,6/20/2015,LA,King Cobras CC,Super Kings,Russell Creek G6,Blue Star CC,BIS LIONS,Saturday,11:30 am - 3:30 pm
,87,WK 5,6/20/2015,D,India Blues,Swadeshi Stars,Russell Creek G7,Hyderabad Boyz,Dallas Tigers,Saturday,7:30 am - 11:30 am
,88,WK 5,6/20/2015,LA,Buccaneers,Southlake United,Russell Creek G7,Friends Strikers,BIS LIONS,Saturday,11:30 am - 3:30 pm
,89,WK 5,6/21/2015,B,Plano Packers,King Cobras CC,Allen Cricket Ground on Alma,VR Lions,Boomstick Mafia CC,Sunday,7:30 am - 11:30 am
,90,WK 5,6/21/2015,B,Lagaan XI,Dallas Chargers,Allen Cricket Ground on Alma,VR Lions,Boomstick Mafia CC,Sunday,11:30 am - 3:30 pm
,91,WK 5,6/21/2015,A,Texas Titans,Hyderabad Boyz,Russell Creek G3,Friends CC,Indian Snipers (TeCHricketers),Sunday,7:30 am - 11:30 am
,92,WK 5,6/21/2015,LA,Irving Chargers,Mustangs Cc,Russell Creek G3,Dallas Tornadoes,Southlake United,Sunday,11:30 am - 3:30 pm
,93,WK 5,6/21/2015,C,Anveta Bulls,Ballbusters,Russell Creek G4,India Blues,Texas Rebels,Sunday,7:30 am - 11:30 am
,94,WK 5,6/21/2015,B,Cirrus,Dallas Tigers,Russell Creek G4,Boomstick Mafia CC,Chennai Rockerz,Sunday,11:30 am - 3:30 pm
,95,WK 5,6/21/2015,C,The AMPS,Desi Boyz,Russell Creek G5,SMASHERS,SHARKS,Sunday,7:30 am - 11:30 am
,96,WK 5,6/21/2015,LB,Challengers CC,BIS LIONS,Russell Creek G5,UTDCC,Buccaneers,Sunday,11:30 am - 3:30 pm
,97,WK 5,6/21/2015,C,Zeo Warriors,Lycans,Russell Creek G6,SMASHERS,SHARKS,Sunday,7:30 am - 11:30 am
,98,WK 5,6/21/2015,LB,Blue Star CC,Incredible Indians,Russell Creek G6,UTDCC,Super Kings,Sunday,11:30 am - 3:30 pm
,99,WK 5,6/21/2015,C,United Eleven,Cycle Stand,Russell Creek G7,SMASHERS,SHARKS,Sunday,7:30 am - 11:30 am
,100,WK 5,6/21/2015,LA,Royals Cricket Club,Force XI,Russell Creek G7,Dallas Tornadoes,Southlake United,Sunday,11:30 am - 3:30 pm
,101,WK 6,6/27/2015,D,India Blues,VR Lions,Allen Cricket Ground on Alma,Royals Cricket Club,Curd Rice Cricket Club,Saturday,7:30 am - 11:30 am
,102,WK 6,6/27/2015,D,Texas Rebels,Chennai Rockerz,Allen Cricket Ground on Alma,Royals Cricket Club,Curd Rice Cricket Club,Saturday,11:30 am - 3:30 pm
,103,WK 6,6/27/2015,D,SMASHERS,Blazing XI,Dodd Park Cricket Ground,Royals Cricket Club,Curd Rice Cricket Club,Saturday,7:30 am - 11:30 am
,104,WK 6,6/27/2015,D,Swadeshi Stars,Frisco Singhams,Garland Cricket Ground,Royals Cricket Club,ACE XI,Saturday,7:30 am - 11:30 am
,105,WK 6,6/27/2015,LA,UTDCC,Southlake United,Garland Cricket Ground,Friends Strikers,EPIC Cricket Club,Saturday,11:30 am - 3:30 pm
,106,WK 6,6/27/2015,LA,Super Kings,Mustangs Cc,Lonestar Cricket Ground,Friends Strikers,Royals Cricket Club,Saturday,7:30 am - 11:30 am
,107,WK 6,6/27/2015,LB,Texas Titans,BIS LIONS,Lonestar Cricket Ground,Royals Cricket Club,Red Bulls,Saturday,11:30 am - 3:30 pm
,108,WK 6,6/27/2015,A,Challengers CC,Hyderabad Boyz,Russell Creek G3,Giant Strikers,Friends CC,Saturday,7:30 am - 11:30 am
,109,WK 6,6/27/2015,LA,Irving Chargers,Force XI,Russell Creek G3,Friends Strikers,Royals Cricket Club,Saturday,11:30 am - 3:30 pm
,110,WK 6,6/27/2015,B,Cirrus,Dallas Chargers,Russell Creek G4,Anveta Bulls,Desi Boyz,Saturday,7:30 am - 11:30 am
,111,WK 6,6/27/2015,LB,Plano Packers,Black Stallions,Russell Creek G4,Friends Strikers,Red Bulls,Saturday,11:30 am - 3:30 pm
,112,WK 6,6/27/2015,B,Dallas Tigers,Incredible Indians,Russell Creek G5,Anveta Bulls,Desi Boyz,Saturday,7:30 am - 11:30 am
,113,WK 6,6/27/2015,B,Lagaan XI,King Cobras CC,Russell Creek G5,Anveta Bulls,Desi Boyz,Saturday,11:30 am - 3:30 pm
,114,WK 6,6/27/2015,C,The AMPS,Lycans,Russell Creek G6,SHARKS,MC United,Saturday,7:30 am - 11:30 am
,115,WK 6,6/27/2015,A,Spades,Dallas Dynamites,Russell Creek G7,Giant Strikers,Friends CC,Saturday,7:30 am - 11:30 am
,116,WK 6,6/28/2015,C,United Eleven,Ballbusters,Allen Cricket Ground on Alma,SMASHERS,MC United,Sunday,7:30 am - 11:30 am
,117,WK 6,6/28/2015,A,Texas Titans,Dallas Daredevils,Dodd Park Cricket Ground,Cirrus,Giant Strikers,Sunday,7:30 am - 11:30 am
,118,WK 6,6/28/2015,C,Zeo Warriors,Boomstick Mafia CC,Russell Creek G3,SMASHERS,MC United,Sunday,7:30 am - 11:30 am
,119,WK 6,6/28/2015,LB,Blue Star CC,Friends Strikers,Russell Creek G3,Buccaneers,Super Kings,Sunday,11:30 am - 3:30 pm
,120,WK 6,6/28/2015,D,SHARKS,United Bengal Tigers (AllenBDTigers),Russell Creek G4,Spades,Dallas Dynamites,Sunday,7:30 am - 11:30 am
,121,WK 6,6/28/2015,LB,Challengers CC,Incredible Indians,Russell Creek G4,Mustangs Cc,Super Kings,Sunday,11:30 am - 3:30 pm
,122,WK 6,6/28/2015,LA,Royals Cricket Club,Dallas Chargers,Russell Creek G4,Black Stallions,Force XI,Sunday,3:30 pm - 7:30 pm
,123,WK 6,6/28/2015,A,ACE XI,Irving Chargers,Russell Creek G5,Giant Strikers,Lycans,Sunday,7:30 am - 11:30 am
,124,WK 6,6/28/2015,B,Plano Packers,Plano Tigers,Russell Creek G5,Lycans,Chennai Rockerz,Sunday,11:30 am - 3:30 pm
,125,WK 6,6/28/2015,C,Cycle Stand,Friends CC,Russell Creek G6,SMASHERS,MC United,Sunday,7:30 am - 11:30 am
,126,WK 6,6/28/2015,LB,The AMPS,Lagaan XI,Russell Creek G6,UTDCC,Buccaneers,Sunday,11:30 am - 3:30 pm
,127,WK 6,6/28/2015,C,Anveta Bulls,Desi Boyz,Russell Creek G7,SMASHERS,MC United,Sunday,7:30 am - 11:30 am
,128,WK 6,6/28/2015,LA,King Cobras CC,Red Bulls,Russell Creek G7,Super Kings,Black Stallions,Sunday,11:30 am - 3:30 pm
,129,WK 7,7/11/2015,C,Lycans,United Eleven,Allen Cricket Ground on Alma,SMASHERS,United Bengal Tigers (AllenBDTigers),Saturday,7:30 am - 11:30 am
,130,WK 7,7/11/2015,C,Ballbusters,Friends CC,Dodd Park Cricket Ground,SMASHERS,United Bengal Tigers (AllenBDTigers),Saturday,7:30 am - 11:30 am
,131,WK 7,7/11/2015,B,Dallas Tigers,Plano Tigers,Garland Cricket Ground,Zeo Warriors,Blazing XI,Saturday,7:30 am - 11:30 am
,132,WK 7,7/11/2015,LA,UTDCC,Force XI,Garland Cricket Ground,EPIC Cricket Club,Southlake United,Saturday,11:30 am - 3:30 pm
,133,WK 7,7/11/2015,LA,Irving Chargers,Red Bulls,Lanka Cricket Ground,Mustangs Cc,Southlake United,Saturday,2:00 pm - 6:00 pm
,134,WK 7,7/11/2015,A,Royals Cricket Club,Hyderabad Boyz,Lonestar Cricket Ground,Boomstick Mafia CC,Indian Snipers (TeCHricketers),Saturday,7:30 am - 11:30 am
,135,WK 7,7/11/2015,LB,Black Stallions,Friends Strikers,Lonestar Cricket Ground,Mustangs Cc,EPIC Cricket Club,Saturday,11:30 am - 3:30 pm
,136,WK 7,7/11/2015,B,Giant Strikers,Dallas Chargers,Russell Creek G3,Anveta Bulls,Blazing XI,Saturday,7:30 am - 11:30 am
,137,WK 7,7/11/2015,LB,Challengers CC,Lagaan XI,Russell Creek G3,Mustangs Cc,EPIC Cricket Club,Saturday,11:30 am - 3:30 pm
,138,WK 7,7/11/2015,B,Cirrus,King Cobras CC,Russell Creek G4,Zeo Warriors,Blazing XI,Saturday,7:30 am - 11:30 am
,139,WK 7,7/11/2015,LB,Plano Packers,BIS LIONS,Russell Creek G4,Super Kings,EPIC Cricket Club,Saturday,11:30 am - 3:30 pm
,140,WK 7,7/11/2015,D,Texas Rebels,Frisco Singhams,Russell Creek G5,Dallas Dynamites,Indian Snipers (TeCHricketers),Saturday,7:30 am - 11:30 am
,141,WK 7,7/11/2015,LB,Blue Star CC,The AMPS,Russell Creek G5,EPIC Cricket Club,Mustangs Cc,Saturday,11:30 am - 3:30 pm
,142,WK 7,7/11/2015,D,SHARKS,Chennai Rockerz,Russell Creek G6,Dallas Dynamites,Indian Snipers (TeCHricketers),Saturday,7:30 am - 11:30 am
,143,WK 7,7/11/2015,D,India Blues,Texas Thunders (Breckinridge Cricket Club),Russell Creek G6,Dallas Dynamites,Indian Snipers (TeCHricketers),Saturday,11:30 am - 3:30 pm
,144,WK 7,7/11/2015,A,ACE XI,Dallas Daredevils,Russell Creek G7,Boomstick Mafia CC,Indian Snipers (TeCHricketers),Saturday,7:30 am - 11:30 am
,145,WK 7,7/11/2015,LB,Texas Titans,Incredible Indians,Russell Creek G7,EPIC Cricket Club,Southlake United,Saturday,11:30 am - 3:30 pm
,146,WK 7,7/12/2015,A,Curd Rice Cricket Club,Texas Titans,Allen Cricket Ground on Alma,Ballbusters,Lagaan XI,Sunday,7:30 am - 11:30 am
,147,WK 7,7/12/2015,B,Plano Packers,Incredible Indians,Allen Cricket Ground on Alma,Lycans,Chennai Rockerz,Sunday,11:30 am - 3:30 pm
,148,WK 7,7/12/2015,D,SMASHERS,VR Lions,Russell Creek G3,Challengers CC,ACE XI,Sunday,7:30 am - 11:30 am
,149,WK 7,7/12/2015,D,Swadeshi Stars,Blazing XI,Russell Creek G4,Challengers CC,ACE XI,Sunday,7:30 am - 11:30 am
,150,WK 7,7/12/2015,LA,Buccaneers,Dallas Chargers,Russell Creek G4,Black Stallions,Lagaan XI,Sunday,11:30 am - 3:30 pm
,151,WK 7,7/12/2015,C,The AMPS,Zeo Warriors,Russell Creek G5,SHARKS,United Bengal Tigers (AllenBDTigers),Sunday,7:30 am - 11:30 am
,152,WK 7,7/12/2015,C,Desi Boyz,Cycle Stand,Russell Creek G6,SHARKS,United Bengal Tigers (AllenBDTigers),Sunday,7:30 am - 11:30 am
,153,WK 7,7/12/2015,LA,King Cobras CC,Mustangs Cc,Russell Creek G6,Challengers CC,Lagaan XI,Sunday,11:30 am - 3:30 pm
,154,WK 7,7/12/2015,A,Dallas Dynamites,Irving Chargers,Russell Creek G7,Cirrus,Lagaan XI,Sunday,7:30 am - 11:30 am
,155,WK 7,7/12/2015,LA,Royals Cricket Club,Southlake United,Russell Creek G7,Challengers CC,Lagaan XI,Sunday,11:30 am - 3:30 pm
,156,WK 8,7/18/2015,B,Dallas Tigers,Dallas Chargers,Allen Cricket Ground on Alma,Lycans,Boomstick Mafia CC,Saturday,7:30 am - 11:30 am
,157,WK 8,7/18/2015,A,Curd Rice Cricket Club,Irving Chargers,Dodd Park Cricket Ground,Ballbusters,King Cobras CC,Saturday,7:30 am - 11:30 am
,158,WK 8,7/18/2015,A,Hyderabad Boyz,Dallas Daredevils,Garland Cricket Ground,Ballbusters,King Cobras CC,Saturday,7:30 am - 11:30 am
,159,WK 8,7/18/2015,LB,The AMPS,BIS LIONS,Garland Cricket Ground,King Cobras CC,Red Bulls,Saturday,11:30 am - 3:30 pm
,160,WK 8,7/18/2015,LA,Royals Cricket Club,Super Kings,Lonestar Cricket Ground,Challengers CC,Texas Titans,Saturday,11:30 am - 3:30 pm
,161,WK 8,7/18/2015,LB,Plano Packers,Incredible Indians,Lonestar Cricket Ground,King Cobras CC,Texas Titans,Saturday,7:30 am - 11:30 am
,162,WK 8,7/18/2015,LB,Blue Star CC,Dallas Tornadoes,Russell Creek G3,King Cobras CC,Texas Titans,Saturday,7:30 am - 11:30 am
,163,WK 8,7/18/2015,D,Swadeshi Stars,Texas Thunders (Breckinridge Cricket Club),Russell Creek G3,Challengers CC,Texas Titans,Saturday,11:30 am - 3:30 pm
,164,WK 8,7/18/2015,C,United Eleven,Friends CC,Russell Creek G4,Blazing XI,Frisco Singhams,Saturday,11:30 am - 3:30 pm
,165,WK 8,7/18/2015,C,Zeo Warriors,Cycle Stand,Russell Creek G7,Blazing XI,Frisco Singhams,Saturday,7:30 am - 11:30 am
,166,WK 8,7/18/2015,A,Dallas Dynamites,ACE XI,Russell Creek G7,Cirrus,King Cobras CC,Saturday,11:30 am - 3:30 pm
,167,WK 8,7/19/2015,B,Cirrus,Plano Packers,Allen Cricket Ground on Alma,Zeo Warriors,Lycans,Sunday,7:30 am - 11:30 am
,168,WK 8,7/19/2015,C,The AMPS,Ballbusters,Dodd Park Cricket Ground,United Bengal Tigers (AllenBDTigers),Texas Thunders (Breckinridge Cricket Club),Sunday,7:30 am - 11:30 am
,169,WK 8,7/19/2015,D,India Blues,Frisco Singhams,Russell Creek G3,Hyderabad Boyz,Texas Titans,Sunday,7:30 am - 11:30 am
,170,WK 8,7/19/2015,A,Royals Cricket Club,Challengers CC,Russell Creek G3,Incredible Indians,King Cobras CC,Sunday,11:30 am - 3:30 pm
,171,WK 8,7/19/2015,D,Texas Rebels,Blazing XI,Russell Creek G4,Dallas Dynamites,Texas Titans,Sunday,7:30 am - 11:30 am
,172,WK 8,7/19/2015,D,SMASHERS,SHARKS,Russell Creek G4,Dallas Dynamites,Texas Titans,Sunday,11:30 am - 3:30 pm
,173,WK 8,7/19/2015,B,Lagaan XI,Plano Tigers,Russell Creek G7,Zeo Warriors,Lycans,Sunday,11:30 am - 3:30 pm
,174,WK 8,7/19/2015,LA,Dallas Chargers,Southlake United,Russell Creek G7,Texas Titans,King Cobras CC,Sunday,7:30 am - 11:30 am
